模块,位置描述,涉及版本,zh-CN 简体中文（中国大陆）,zh-TW 繁体中文（中国台湾）,en-US 英文（美国）,vi-VN 越南语（越南）,ar-SA 阿拉伯语（沙特阿拉伯）,es-ES 西班牙语（西班牙）,pt-BR 葡萄牙语（巴西）,fr-FR 法语（法国）,ja-JP 日语（日本）,ko-KR 韩语（韩国）,ur-PK 乌尔都语（巴基斯坦）,id-ID 印尼语（印度尼西亚）,hi-IN 印地语（印度）,ru-RU 俄语（俄罗斯）,tr-TR 土耳其语（土耳其）,使用场景/注意事项
公共按钮/通用状态,全站通用按钮 - 重置,,重置,重置,Reset,Đặt lại,إعادة ضبط,Restablecer,Redefinir,Réinitialiser,リセット,초기화,ری سیٹ کریں,Atur Ulang,रीसेट करें,Сбросить,Sıfırla,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用操作入口 - 加载更多,,加载更多,載入更多,Load more,Tải thêm,تحميل المزيد,Cargar más,Carregar mais,Charger plus,もっと読み込む,더 보기,مزید لوڈ کریں,Muat lebih banyak,और लोड करें,Загрузить ещё,Daha fazla yükle,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用操作入口 - 复制,,复制,複製,Copy,Sao chép,نسخ,Copiar,Copiar,Copier,コピー,복사,کاپی کریں,Salin,कॉपी करें,Копировать,Kopyala,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用操作入口 - 搜索,,搜索,搜尋,Search,Tìm kiếm,بحث,Buscar,Buscar,Rechercher,検索,검색,تلاش,Cari,खोज,Поиск,Ara,多场景：公共按钮/通用状态 · 全站通用操作入口 - 搜索；搜索 · 顶部搜索框-占位文案｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮｜搜索结果分类或空状态文案，需与搜索接口分类和无结果状态一致
公共按钮/通用状态,全站通用操作入口 - 清空,,清空,清空,Clear,Xóa,مسح,Limpiar,Limpar,Effacer,クリア,지우기,صاف کریں,Bersihkan,साफ करें,Очистить,Temizle,多场景：公共按钮/通用状态 · 全站通用操作入口 - 清空；搜索 · 搜索页/搜索结果页 - 清空｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮｜搜索结果分类或空状态文案，需与搜索接口分类和无结果状态一致
公共按钮/通用状态,全站通用操作入口 - 返回,,返回,返回,Back,Quay lại,رجوع,Volver,Voltar,Retour,戻る,뒤로,واپس,Kembali,वापस,Назад,Geri,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用消息提示 - 保存成功,,保存成功,已保存,Saved successfully,Lưu thành công,تم الحفظ بنجاح,Guardado con éxito,Salvo com sucesso,Enregistré avec succès,保存しました,저장 완료,کامیابی سے محفوظ کیا گیا,Berhasil disimpan,सफलतापूर्वक सहेजा गया,Успешно сохранено,Başarıyla kaydedildi,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用消息提示 - 加载失败，请稍后重试,,加载失败，请稍后重试,載入失敗，請稍後再試,"Failed to load, please try again later","Tải thất bại, vui lòng thử lại sau",فشل في التحميل، يرجى المحاولة لاحقاً,"No se pudo cargar, inténtalo de nuevo más tarde","Falha ao carregar, tente novamente mais tarde","Échec du chargement, veuillez réessayer plus tard",読み込みに失敗しました。しばらくしてからお試しください,로드 실패. 잠시 후 다시 시도해주세요,لوڈ کرنے میں ناکام، براہ کرم بعد میں دوبارہ کوشش کریں,"Gagal memuat, silakan coba lagi nanti","लोड करने में विफल, कृपया बाद में पुनः प्रयास करें","Не удалось загрузить, попробуйте позже","Yükleme başarısız, lütfen daha sonra tekrar deneyin",通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用消息提示 - 成功,,成功,成功,Success,Thành công,نجاح,Éxito,Sucesso,Succès,成功,성공,کامیابی,Berhasil,सफलता,Успешно,Başarılı,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用消息提示 - 提示,,提示,提示,Info,Thông tin,معلومة,Información,Informação,Information,情報,정보,معلومات,Informasi,जानकारी,Информация,Bilgi,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用消息提示 - 提醒,,提醒,提醒,Warning,Cảnh báo,تحذير,Advertencia,Aviso,Avertissement,警告,경고,انتباہ,Peringatan,चेतावनी,Предупреждение,Uyarı,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用消息提示 - 操作失败，请稍后重试,,操作失败，请稍后重试,操作失敗,"Operation failed, please try again later","Thao tác thất bại, vui lòng thử lại sau",فشل في العملية، يرجى المحاولة لاحقاً,"La operación falló, inténtalo de nuevo más tarde","Falha na operação, tente novamente mais tarde","Opération échouée, veuillez réessayer plus tard",操作に失敗しました。しばらくしてからお試しください,작업 실패. 잠시 후 다시 시도해주세요,آپریشن ناکام، براہ کرم بعد میں دوبارہ کوشش کریں,"Operasi gagal, silakan coba lagi nanti","संचालन विफल, कृपया बाद में पुनः प्रयास करें","Операция не выполнена, попробуйте позже","İşlem başarısız, lütfen daha sonra tekrar deneyin",通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用消息提示 - 错误,,错误,錯誤,Error,Lỗi,خطأ,error,Erro,Erreur,エラー,오류,خرابی,Kesalahan,त्रुटि,Ошибка,Hata,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用状态提示 - 加载中,,加载中...,載入中...,Loading...,Đang tải...,جارٍ التحميل...,Cargando...,Carregando...,Chargement...,読み込み中...,로딩 중...,لوڈ ہو رہا ہے...,Memuat...,लोड हो रहा है...,Загрузка...,Yükleniyor...,多场景：公共按钮/通用状态 · 全站通用状态提示 - 加载中；系统提示/弹窗/权限 · 合约管理页面 - 加载中｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮｜认证/合约流程文案，需与后台状态、签署流程和法务文案保持一致
公共按钮/通用状态,全站通用状态提示 - 无搜索结果,,无搜索结果,無搜尋結果,No search result,Không có kết quả tìm kiếm,لا توجد نتائج,Sin resultados de búsqueda,Nenhum resultado de busca,Aucun résultat de recherche,検索結果がありません,검색 결과 없음,کوئی تلاش نتیجہ نہیں,Tidak ada hasil pencarian,कोई खोज परिणाम नहीं,Ничего не найдено,Arama sonucu yok,多场景：公共按钮/通用状态 · 全站通用状态提示 - 无搜索结果；搜索 · 搜索页/搜索结果页 - 无搜索结果｜通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮｜搜索结果分类或空状态文案，需与搜索接口分类和无结果状态一致
公共按钮/通用状态,全站通用状态提示 - 暂无数据,,暂无数据,暫無資料,No data,Không có dữ liệu,لا توجد بيانات,Sin datos,Sem dados,Aucune donnée,データがありません,데이터 없음,کوئی ڈیٹا نہیں,Tidak ada data,कोई डेटा नहीं,Нет данных,Veri yok,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用状态提示 - 没有更多,,没有更多,沒有更多,No more,Không còn nữa,لا مزيد,No hay más,Não há mais,Plus rien,これ以上ありません,더 이상 없음,مزید نہیں,Tidak ada lagi,अधिक नहीं,Больше нет,Daha fazla yok,通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站通用状态提示 - 网络错误，请稍后重试,,网络错误，请稍后重试,網路錯誤，請稍後再試,"Network error, please try again later","Lỗi mạng, vui lòng thử lại sau",خطأ في الشبكة، يرجى المحاولة لاحقاً,"Error de red, inténtalo de nuevo más tarde","Erro de rede, tente novamente mais tarde","Erreur réseau, veuillez réessayer plus tard",ネットワークエラーです。しばらくしてからお試しください,네트워크 오류. 잠시 후 다시 시도해주세요,نیٹ ورک خرابی، براہ کرم بعد میں دوبارہ کوشش کریں,"Kesalahan jaringan, silakan coba lagi nanti","नेटवर्क त्रुटि, कृपया बाद में फिर प्रयास करें","Ошибка сети, попробуйте позже","Ağ hatası, lütfen daha sonra tekrar deneyin",通用按钮文案，建议控制字数，重点检查窄屏和弹窗底部按钮
公共按钮/通用状态,全站分享 - 分享到群聊,V1.6,分享到群聊,分享到群聊,Share to Group Chat,Chia sẻ tới trò chuyện nhóm,مشاركة إلى دردشة المجموعة,Compartir en chat de grupo,Compartilhar no chat em grupo,Partager dans le chat de groupe,グループチャットに共有,그룹 채팅으로 공유,گروپ چیٹ میں شیئر کریں,Bagikan ke Obrolan Grup,ग्रुप चैट में साझा करें,Поделиться в групповом чате,Grup Sohbetine Paylaş,V1.6 全站分享
【顶部导航/侧边栏/首页】,,,,,,,,,,,,,,,,,,
顶部导航/侧边栏/首页,H5/App 引导 - 下载互动标题,,下载 OnCoin，收藏并互动,下載 OnCoin，收藏並互動,"Download OnCoin, favorite & interact","Tải OnCoin, yêu thích & tương tác",حمّل OnCoin، أضِف إلى المفضلة وتفاعل,"Descarga OnCoin, guarda favoritos e interactúa","Baixe o OnCoin, favorite e interaja","Téléchargez OnCoin, ajoutez aux favoris et interagissez",OnCoinをダウンロードして、お気に入り＆交流,OnCoin을 다운로드하고 즐겨찾기·소통하세요,OnCoin ڈاؤن لوڈ کریں، پسندیدہ بنائیں اور بات چیت کریں,"Unduh OnCoin, favoritkan & berinteraksi","OnCoin डाउनलोड करें, पसंदीदा बनाएं और इंटरैक्ट करें","Скачайте OnCoin, добавляйте в избранное и взаимодействуйте","OnCoin'i indirin, favorilere ekleyin ve etkileşime geçin",未安装场景：下载引导主标题
顶部导航/侧边栏/首页,H5/App 引导 - 下载互动说明,,同步收藏、接收通知，并在 App 中持续互动。,同步收藏、接收通知，並在 App 中持續互動。,"Sync favorites, receive notifications and keep interacting in App.","Đồng bộ mục yêu thích, nhận thông báo và tiếp tục tương tác trong ứng dụng.",زامن المفضلة، وتلقَّ الإشعارات، واستمر في التفاعل داخل التطبيق.,"Sincroniza favoritos, recibe notificaciones y sigue interactuando en la App.","Sincronize favoritos, receba notificações e continue interagindo no App.","Synchronisez vos favoris, recevez des notifications et continuez d'interagir dans l'app.",お気に入りを同期し、通知を受け取り、アプリで交流を続けましょう。,즐겨찾기를 동기화하고 알림을 받으며 앱에서 계속 소통하세요.,پسندیدہ مطابقت پذیر بنائیں، اطلاعات حاصل کریں اور ایپ میں بات چیت جاری رکھیں۔,"Sinkronkan favorit, terima notifikasi, dan terus berinteraksi di Aplikasi.","पसंदीदा सिंक करें, सूचनाएं पाएं और ऐप में इंटरैक्ट करते रहें।","Синхронизируйте избранное, получайте уведомления и продолжайте взаимодействие в приложении.","Favorileri senkronize edin, bildirim alın ve Uygulamada etkileşime devam edin.",未安装场景副文案
顶部导航/侧边栏/首页,H5/App 引导 - 完整体验标题,,在 OnCoin App 获得完整体验,在 OnCoin App 獲得完整體驗,Get the full experience on OnCoin App,Trải nghiệm đầy đủ trên ứng dụng OnCoin,احصل على التجربة الكاملة على تطبيق OnCoin,Obtén la experiencia completa en la App de OnCoin,Tenha a experiência completa no App OnCoin,Profitez de l'expérience complète sur l'app OnCoin,OnCoinアプリでフル体験を,OnCoin 앱에서 완전한 경험을 누리세요,OnCoin ایپ پر مکمل تجربہ حاصل کریں,Dapatkan pengalaman lengkap di Aplikasi OnCoin,OnCoin ऐप पर पूरा अनुभव पाएं,Получите полный опыт в приложении OnCoin,OnCoin Uygulamasında tam deneyimi yaşayın,H5/App 下载或打开引导主标题
顶部导航/侧边栏/首页,H5/App 引导 - 打开 App 副文案,,打开 App，体验更流畅,打開 App，體驗更流暢,Open the App for smoother experience,Mở ứng dụng để trải nghiệm mượt mà hơn,افتح التطبيق لتجربة أكثر سلاسة,Abre la App para una experiencia más fluida,Abra o App para uma experiência mais fluida,Ouvrez l'app pour une expérience plus fluide,アプリを開くとより快適に使えます,앱을 열면 더 부드러운 경험을 제공합니다,ہموار تجربے کے لیے ایپ کھولیں,Buka Aplikasi untuk pengalaman lebih lancar,बेहतर अनुभव के लिए ऐप खोलें,Откройте приложение для более плавной работы,Daha akıcı deneyim için Uygulamayı açın,已安装场景：引导打开 App
顶部导航/侧边栏/首页,H5/App 引导 - 打开按钮,,打开,打開,Open,Mở,فتح,Abrir,Abrir,Ouvrir,開く,열기,کھولیں,Buka,खोलें,Открыть,Aç,已安装场景主按钮
顶部导航/侧边栏/首页,H5/App 引导 - 继续网页浏览,,继续网页浏览,繼續網頁瀏覽,Continue Web Browsing,Tiếp tục duyệt web,متابعة التصفح على الويب,Continuar navegando en la web,Continuar navegando na web,Continuer la navigation web,Web閲覧を続ける,웹 브라우징 계속,ویب براؤزنگ جاری رکھیں,Lanjutkan penjelajahan web,वेब ब्राउज़िंग जारी रखें,Продолжить просмотр в браузере,Web’de gezintiye devam et,次要操作：留在 H5/Web 继续浏览
顶部导航/侧边栏/首页,PC 侧边栏 - 下载,,下载,下載,Download,Tải xuống,تنزيل,Descargar,Baixar,Télécharger,ダウンロード,다운로드,ڈاؤن لوڈ,Unduh,डाउनलोड,Скачать,İndir,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,PC 侧边栏 - 关注的主播,,关注的主播,關注的主播,Following Streamers,Streamer đang theo dõi,البثّ الذين تتابعهم,Streamers que sigues,Streamers que você segue,Streamers suivis,フォロー中の配信者,팔로우한 스트리머,سٹریمرز کی پیروی کی۔,Streamer yang diikuti,स्ट्रीमर्स का अनुसरण किया,Отслеживаемые стримеры,Takip edilen yayıncılar,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,PC 侧边栏 - 用户协议,,用户协议,用戶協議,User Agreement,Thỏa thuận người dùng,اتفاقية المستخدم,Acuerdo de usuario,Acordo do Usuário,Accord utilisateur,利用規約,이용약관,صارف معاہدہ,Perjanjian Pengguna,उपयोगकर्ता समझौता,Пользовательское соглашение,Kullanıcı Sözleşmesi,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,PC 侧边栏 - 粉丝 数值,,粉丝 {{value}},粉絲 {{value}},Fans {{value}},{{value}} fan,المتابعون {{value}},Seguidores {{value}},Seguidores {{value}},Abonnés {{value}},フォロワー {{value}},팔로워 {{value}},پرستار {{value}},Pengikut {{value}},प्रशंसक {{value}},Подписчики {{value}},Takipçi {{value}},含动态变量，翻译时必须保留 {{}} 内占位符，前后语序可按语言调整
顶部导航/侧边栏/首页,PC 侧边栏 - 隐私政策,,隐私政策,隱私政策,Privacy Policy,Chính sách quyền riêng tư,سياسة الخصوصية,Política de privacidad,Política de Privacidade,Politique de confidentialité,プライバシーポリシー,개인정보처리방침,رازداری کی پالیسی,Kebijakan Privasi,गोपनीयता नीति,Политика конфиденциальности,Gizlilik Politikası,多场景：顶部导航/侧边栏/首页 · PC 侧边栏 - 隐私政策；我的/个人中心 · 我的页设置菜单 - 隐私政策；语言/关于/帮助/页脚 · PC 页脚链接区 - 隐私政策｜导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口｜系统弹窗/提示条文案，需检查确认、取消、异常提示和浏览器场景｜固定页面/链接文案，需检查跳转目标和当前语言是否一致
顶部导航/侧边栏/首页,PC 左侧导航-广场入口,,广场,廣場,Square,Quảng trường,المربع,Plaza,Feed,Place,スクエア,스퀘어,اسکوائر,Feed,स्क्वायर,Лента,Akış,多场景：顶部导航/侧边栏/首页 · PC 左侧导航-广场入口；搜索 · 搜索结果页-广场 Tab；广场/资讯/帖子 · 广场/资讯页面 - 广场｜导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口｜搜索结果分类或空状态文案，需与搜索接口分类和无结果状态一致｜广场/资讯/帖子互动文案，需与点赞、评论、分享、举报状态同步
顶部导航/侧边栏/首页,PC 左侧导航-我的入口,,我的,我的,Me,Tôi,أنا,Yo,Eu,Moi,マイ,내 정보,میں,Saya,मैं,Я,Ben,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,PC 左侧导航-浏览记录入口,,浏览记录,瀏覽記錄,Browsing History,Lịch sử duyệt,سجل التصفح,Historial de navegación,Histórico de navegação,Historique de navigation,閲覧履歴,시청 기록,براؤزنگ ہسٹری,Riwayat Penelusuran,ब्राउज़िंग हिस्ट्री,История просмотров,Gezinme Geçmişi,多场景：顶部导航/侧边栏/首页 · PC 左侧导航-浏览记录入口；我的/个人中心 · 我的页常用功能区 - 浏览记录｜导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口｜页面固定系统文案，需纳入 i18n 统一管理并检查多语言显示宽度
顶部导航/侧边栏/首页,PC 左侧导航-聊天入口,,聊天,聊天,Chats,Trò chuyện,الدردشات,Grupos no leídos,Grupos não lidos,Groupes non lus,チャット,채팅,چیٹس,Obrolan,चैट्स,Чаты,Sohbetler,多场景：顶部导航/侧边栏/首页 · PC 左侧导航-聊天入口；聊天/群聊 · 聊天/群聊页面 - 聊天｜导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口｜聊天/群聊相关文案，需关注长文本在列表、输入框、弹窗中的显示；英文口径并存：Chat / Chats
顶部导航/侧边栏/首页,PC 左侧导航-行情入口,,行情,市場,Markets,Thị trường,الأسواق,Mercados,Mercados,Marchés,マーケット,마켓,مارکیٹس,Pasar,मार्केट्स,Рынки,Piyasalar,多场景：顶部导航/侧边栏/首页 · PC 左侧导航-行情入口；搜索 · 搜索结果页-行情 Tab｜导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口｜搜索结果分类或空状态文案，需与搜索接口分类和无结果状态一致
顶部导航/侧边栏/首页,PC 左侧导航-预约直播入口,,预约直播,預約直播,Reserved Live,Live đã đặt,البث المحجوز,Directos reservados,Lives reservadas,Lives réservés,予約済みライブ,예약 라이브,ریزروڈ لائیو,Live Terjadwal,आरक्षित लाइव,Запланированные эфиры,Rezerve Edilen Yayınlar,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,PC 左侧导航-首页入口,,首页,首頁,Home,Trang chủ,الرئيسية,Inicio,Início,Accueil,ホーム,홈,ہوم,Beranda,होम,Главная,Ana Sayfa,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,PC 左侧栏-刷新推荐主播按钮,,刷新主播列表,重新載入主播列表,Refresh streamer list,Làm mới danh sách streamer,تحديث قائمة البثّ,Actualizar lista de streamers,Atualizar lista de streamers,Actualiser la liste des streamers,配信者リストを更新,스트리머 목록 새로고침,اسٹریمر لسٹ کو ریفریش کریں۔,Segarkan daftar streamer,स्ट्रीमर सूची ताज़ा करें,Обновить список стримеров,Yayıncı listesini yenile,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
顶部导航/侧边栏/首页,PC 左侧栏-推荐主播模块标题,,推荐主播,推薦主播,Recommended Streamers,Streamer đề xuất,البثّ المُوصى به,Streamers recomendados,Streamers recomendados,Streamers recommandés,おすすめ配信者,추천 스트리머,تجویز کردہ اسٹریمرز,Streamer rekomendasi,अनुशंसित स्ट्रीमर,Рекомендуемые стримеры,Önerilen yayıncılar,导航/首页固定入口，需同步检查跳转、悬浮态和移动端对应入口
